epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,10701.1,0.9802,0.79233,1.33299,0.35459,0.35231,0.36794,0.14016,2.4311,2.53797,2.46705,0.000416,0.000416,0.000416
82,10797.7,0.89646,0.74198,1.30228,0.5395,0.46154,0.49336,0.17135,2.39836,2.19578,2.44982,0.0003962,0.0003962,0.0003962
83,10881.6,0.85892,0.68725,1.25403,0.5395,0.46154,0.49336,0.17135,2.39836,2.19578,2.44982,0.0003764,0.0003764,0.0003764
84,10967.6,0.93012,0.67958,1.29243,0.61742,0.41026,0.49615,0.19329,2.39169,2.07595,2.47457,0.0003566,0.0003566,0.0003566
85,11051.3,0.91487,0.70507,1.31957,0.71528,0.41026,0.50601,0.21496,2.3486,2.00992,2.44258,0.0003368,0.0003368,0.0003368
86,11132.7,0.90448,0.65067,1.24138,0.66979,0.41026,0.51121,0.22346,2.30636,1.86211,2.40957,0.000317,0.000317,0.000317
87,11257.9,0.86248,0.68038,1.25039,0.66979,0.41026,0.51121,0.22346,2.30636,1.86211,2.40957,0.0002972,0.0002972,0.0002972
88,11363.4,0.88851,0.68847,1.31036,0.61059,0.53846,0.5182,0.22873,2.29098,1.7242,2.42427,0.0002774,0.0002774,0.0002774
89,11449.1,0.89214,0.66392,1.22757,0.66491,0.55978,0.55942,0.24028,2.29922,1.61429,2.51009,0.0002576,0.0002576,0.0002576
90,11582.6,0.93508,0.6918,1.31512,0.63364,0.5641,0.56558,0.23623,2.30893,1.60631,2.54467,0.0002378,0.0002378,0.0002378
91,11714.9,0.80085,0.70656,1.22535,0.63364,0.5641,0.56558,0.23623,2.30893,1.60631,2.54467,0.000218,0.000218,0.000218
92,11852,0.80812,0.67501,1.24882,0.56957,0.53846,0.53534,0.22992,2.33168,1.6077,2.57533,0.0001982,0.0001982,0.0001982
93,11984.7,0.71879,0.64376,1.21697,0.66882,0.41026,0.51413,0.21812,2.3376,1.70285,2.54666,0.0001784,0.0001784,0.0001784
94,12118.4,0.78247,0.59149,1.2682,0.64256,0.415,0.47006,0.19927,2.35622,1.84386,2.55021,0.0001586,0.0001586,0.0001586
95,12249.3,0.80956,0.63447,1.289,0.64256,0.415,0.47006,0.19927,2.35622,1.84386,2.55021,0.0001388,0.0001388,0.0001388
96,12381.5,0.75445,0.56849,1.24426,0.62319,0.41026,0.43735,0.17975,2.38055,1.99567,2.57689,0.000119,0.000119,0.000119
97,12511.7,0.78168,0.55044,1.27116,0.48857,0.39209,0.4015,0.16461,2.38686,2.15317,2.58026,9.92e-05,9.92e-05,9.92e-05
98,12642.9,0.79563,0.56002,1.18202,0.46515,0.38462,0.3688,0.15943,2.3896,2.2641,2.59614,7.94e-05,7.94e-05,7.94e-05
99,12777.8,0.71595,0.55507,1.2182,0.46515,0.38462,0.3688,0.15943,2.3896,2.2641,2.59614,5.96e-05,5.96e-05,5.96e-05
100,12914.3,0.74176,0.56533,1.21228,0.46733,0.38462,0.37069,0.16418,2.39807,2.24592,2.6064,3.98e-05,3.98e-05,3.98e-05
